horse_id,父,母,母父
2023105380,エピファネイア,ホエールキャプチャ,クロフネ
2023102810,リアルスティール,ラハイナIILa Haina(智),Milt's Overture
2023105021,ポエティックフレアPoetic Flare(愛),フェルトベルク,ブラックタイド
2023106169,カリフォルニアクロームCalifornia Chrome(米),シャイニールミナス,ブラックタイド
2023106995,キタサンブラック,グローバルビューティGlobal Beauty(亜),Global Hunter
2023104413,キズナ,マドルガーダ,タートルボウルTurtle Bowl(愛)
2023103628,ジャスタウェイ,コマノサラサ,クロフネ
2023102948,キズナ,マーガレットメドウ,Distorted Humor(米)
2023106847,ナダルNadal(米),アラゴネーゼ,ゴールドアリュール
2023103893,キズナ,ストリートバンドStreet Band(米),Istan
2023105272,クリソベリル,エスメラルディーナ,Harlan's Holiday
2023105370,コントレイル,カレドニアロード,Quality Road
2023107141,Justify(米),ナイセストNicest(愛),American Pharoah(米)
2023106955,クリソベリル,カーミングエフェクトCalming Effect(米),War Front
2023107211,アルバート,プリームス,フジキセキ
2023105977,タイセイレジェンド,ブラウンキャビア,Kodiac
2023105291,クリソベリル,サリネロ,Uncle Mo(米)
2023104766,ルヴァンスレーヴ,ゴッドビラブドミー,ブライアンズタイムBrian's Time(米)
2023107384,ミスターメロディ,シュペトレーゼ,ディープインパクト
2023104858,ルヴァンスレーヴ,エイコーンウィル,キングカメハメハ
2022104647,サートゥルナーリア,インナーアージ,ディープインパクト
2022110125,Gun Runner(米),Nokaze,エンパイアメーカーEmpire Maker(米)
2022104738,ブリックスアンドモルタルBricks and Mortar(米),キープシークレット,ダイワメジャー
2022105557,ブリックスアンドモルタルBricks and Mortar(米),リバティハイツ,キングカメハメハ
2021105416,リアルインパクト,ウォークロニクル,ウォーエンブレムWar Emblem(米)
2022102305,Frankel,レッツゴードンキ,キングカメハメハ
2022106912,ビッグアーサー,ストームイメージ,ダンスインザダーク
2021100081,ゴールドシップ,ブーケドロゼブルー,ロージズインメイRoses in May(米)
2021104537,ワールドエース,クィーンズロード,Quality Road
2022103100,リオンディーズ,スールキートス,キングヘイロー
2022106647,キズナ,トップソリスト,War Front
2022104392,エピファネイア,ストライクルート,Smart Strike(加)
2021105141,キタサンブラック,デロングスター,ヴィクトワールピサ
2021103006,アニマルキングダムAnimal Kingdom(米),ヒルノマテーラ,マンハッタンカフェ
2022105633,シュヴァルグラン,ディープストーリー,ディープインパクト
2022104598,ハービンジャーHarbinger(英),アソルータ,ゼンノロブロイ
2022105290,ルーラーシップ,ガールズバンド,ディープインパクト
2020101323,ゼンノロブロイ,ウィンディガーデン,タニノギムレット
2021105418,ドゥラメンテ,ヴァシリカVasilika(米),Skipshot
2022100081,ゴールドシップ,マイネグロリアーナ,Rock Hard Ten
2021103177,シルバーステート,フェリーチェ,モンテロッソMonterosso(英)
2022102294,サートゥルナーリア,ジャジャウマガール,ハーツクライ
2022104661,バゴBago(仏),ウォークロニクル,ウォーエンブレムWar Emblem(米)
2022101043,レイデオロ,ベルライン,ダイワメジャー
2022102202,ダノンレジェンド,ストリーク,エイシンフラッシュ
2021100171,ロードカナロア,レキシールーLexie Lou(加),Sligo Bay
2022103188,カリフォルニアクロームCalifornia Chrome(米),メイショウグロッケ,メイショウサムソン
2022106011,ディーマジェスティ,クニコチャン,ゴールドアリュール
2021105736,モーリス,ブチコ,キングカメハメハ
2021105973,ドレフォンDrefong(米),ボクノナオミ,ゴールドアリュール
2022101016,ゴールドドリーム,ジュエルド,ストーミングホームStorming Home(英)
2022100321,コパノリッキー,ヴォルトファース,リアルインパクト
2020102881,パドトロワ,シンデレラロマンス,Elusive Quality
2021103809,ミュゼスルタン,ベルシエロ,ダイワメジャー
2021103268,ダノンレジェンド,メイショウコブシ,スペシャルウィーク
2022109038,マクフィMakfi(英),リキサンエルピーダ,ネオユニヴァース
2022103962,ダイワメジャー,ルリオン,キングカメハメハ
2022106123,カレンブラックヒル,ダームドゥラック,シンボリクリスエス
2022101241,アルアイン,ジレーネ,キングカメハメハ
2022103525,キタサンブラック,タニノジュレップ,コロナドズクエストCoronado's Quest(米)
2020106519,グランプリボス,モズフリムカナイデ,クロフネ
2021103171,エイシンヒカリ,タイキキララ,キングヘイロー
2021106237,サンダースノーThunder Snow(愛),ピーチドラフト,サクラバクシンオー
2018103473,カレンブラックヒル,アンローランサン,フサイチコンコルド
2021103862,ディスクリートキャットDiscreet Cat(米),サテラノサト,ディープブリランテ
2021106854,リオンディーズ,エバープリンセス,ハービンジャーHarbinger(英)
2021103020,レイデオロ,ラユロット,エンパイアメーカーEmpire Maker(米)
2020100061,ダノンレジェンド,ジュピターズビコー,Singspiel(愛)
2022106925,Justify(米),フリートバーティーFleet Bertie(米),Afleet Alex
2022106553,ヘニーヒューズHenny Hughes(米),スペシャルディナー,スペシャルウィーク
2020104136,スズカコーズウェイ,ファーストレディ,スマートボーイ
2020106565,ホッコータルマエ,ヒラボクビジン,ブライアンズタイムBrian's Time(米)
2019100630,キズナ,クイーンパイレーツ,キングカメハメハ
2022102117,モーニン,レイズアスマイル,ベーカバドBehkabad(仏)
2022100653,ミッキーアイル,ベイコート,ロードカナロア
2020103331,ジャスタウェイ,キラーグレイシスKiller Graces(米),Congaree
2019104245,エスポワールシチー,リサプシュケ,ワイルドラッシュWild Rush(米)
2020100912,キズナ,オールブランニュー,ノボジャック
2022100154,ホッコータルマエ,アクアブルーハート,エンパイアメーカーEmpire Maker(米)
2020104497,アジアエクスプレス,トゥルーロマンス,アグネスデジタル
2021105630,リアルスティール,ソーメニーウェイズSo Many Ways(米),Sightseeing
2022105979,アジアエクスプレス,メジロカトリーヌ,メジロライアン
2022103440,リオンディーズ,エスピナアスール,フジキセキ
2021103842,サトノダイヤモンド,ニホンピロヴィータ,スニッツェルSnitzel(豪)
2022106200,コパノリッキー,ミヤジヴィジェ,エンパイアメーカーEmpire Maker(米)
2022105321,ブリックスアンドモルタルBricks and Mortar(米),コンテスティッドContested(米),Ghostzapper
2021104151,ホッコータルマエ,プロテクトジアース,アフリートAfleet(加)
2022103307,ディスクリートキャットDiscreet Cat(米),ラブリーアリュール,ゴールドアリュール
2022100997,ホッコータルマエ,ジョーアラマート,キングヘイロー
2022100660,ロードカナロア,レディルージュ,ブライアンズタイムBrian's Time(米)
2022101396,フォーウィールドライブFour Wheel Drive(米),オークヴィル,タニノギムレット
2020106355,アドマイヤムーン,アリアプーラAria Pura(豪),Flying Spur
2022101082,ミスターメロディ,トゥルーストーリー,キンシャサノキセキ
2021102550,グレーターロンドン,メイショウルナ,スタチューオブリバティStatue of Liberty(米)
2022106189,モズアスコット,ヘイローフジ,キングヘイロー
2022100366,デクラレーションオブウォー,アワーアメリカンギャルOur American Gal(米),American Pharoah(米)
2022104611,エピファネイア,アドマイヤリード,ステイゴールド
2023106571,エスポワールシチー,メイショウクシナダ,アイルハヴアナザーI'll Have Another(米)
2023106556,フォーウィールドライブFour Wheel Drive(米),サンデーローズ,ブライアンズタイムBrian's Time(米)
2023103702,シルバーステート,チェルシークロイスターズChelsea Cloisters(米),First Samurai
2023100452,エスポワールシチー,ツクバエルドラド,El Corredor
2023107029,ドレフォンDrefong(米),シフォンカール,クロフネ
2023106359,タワーオブロンドン,オールアイキャンセイイズワウAllicansayis Wow(米),Street Cry(愛)
2023103226,サンダースノーThunder Snow(愛),エリーティアラ,ケイムホームCame Home(米)
2023106156,ベンバトルBenbatl(英),ファド,ダイワメジャー
2023102525,キセキ,イルドロール,ゴールドアリュール
2023100982,フォーウィールドライブFour Wheel Drive(米),アリエスムーン,アドマイヤムーン
2023103841,ЅЂЅыЅЂЅЄЅѓ,ЅоЅЪЅЈЅєЅЁ,ЅЏЅэЅеЅЭ
2023106207,リオンディーズ,スズカマドンナ,ディープインパクト
2023106702,ミッキーアイル,トスアップ,ジャスタウェイ
2023101421,ヘニーヒューズHenny Hughes(米),コーラルビュー,キングヘイロー
2023105592,ΞΏΞΙΞΝΞτΞΘΞΔΞΙΞΔΞλΞΟΞ·ΞΙMischevious Alex( Τ),ΞίΞΟΞ…ΞΖΞψΞΛΞΥΓΦ,Ξ¥ΓΦΞκΞ…ΞΔΞξΞεΓΦΞκ
2023100756,ディスクリートキャットDiscreet Cat(米),イサチルルンルン,パイロPyro(米)
2023105981,エタリオウ,ミスキララ,ファスリエフFasliyev(米)
2023105854,リオンディーズ,ウインオリアート,ステイゴールド
2023102008,リアルスティール,ルソンデュレーヴ,キングカメハメハ
2023102362,ウインブライト,イルジオーネ,ワークフォースWorkforce(英)
2023107051,キズナ,シークレットスパイスSecret Spice(米),ディスクリートキャットDiscreet Cat(米)
2023100812,クラウンレガーロ,マリノルシアーナ,エピファネイア
2023106285,コントレイル,フェアエレン,Street Cry(愛)
2023106811,マインドユアビスケッツMind Your Biscuits(米),マルーンエンブレム,オルフェーヴル
2023103465,トーセンラー,ダイワウィズミー,キングカメハメハ
